City,Total Count,Percentage of Listings
Houston,12703,1.49%
San Antonio,8078,0.95%
Louisville,5872,0.69%
Jacksonville,5675,0.67%
Austin,5297,0.62%
Miami,5250,0.62%
Orlando,5228,0.61%
Raleigh,5147,0.60%
Colorado Springs,4955,0.58%
Philadelphia,4756,0.56%
Columbia,4580,0.54%
Dallas,4434,0.52%
Marietta,4090,0.48%
Tucson,4084,0.48%
Phoenix,3978,0.47%
Las Vegas,3964,0.47%
Charlotte,3955,0.46%
Tampa,3854,0.45%
Columbus,3710,0.44%
Plano,3362,0.39%
Chicago,3354,0.39%
Indianapolis,3311,0.39%
El Paso,3058,0.36%
Sacramento,3025,0.36%
Arlington,2977,0.35%
Albuquerque,2920,0.34%
Puyallup,2843,0.33%
Chantilly,2838,0.33%
Fredericksburg,2813,0.33%
Victorville,2788,0.33%
Lakewood,2757,0.32%
Manassas,2755,0.32%
Carrollton,2737,0.32%
Fort Worth,2675,0.31%
Springfield,2569,0.30%
Concord,2487,0.29%
Tacoma,2484,0.29%
San Diego,2460,0.29%
Madison,2447,0.29%
Duluth,2442,0.29%
Cincinnati,2434,0.29%
Oklahoma City,2409,0.28%
Englewood,2388,0.28%
Richmond,2373,0.28%
Union City,2332,0.27%
Pensacola,2222,0.26%
Fayetteville,2206,0.26%
Tempe,2204,0.26%
Virginia Beach,2195,0.26%
West Palm Beach,2153,0.25%
Honolulu,2151,0.25%
Portland,2142,0.25%
Lafayette,2119,0.25%
Hollywood,2063,0.24%
Doral,2035,0.24%
Gainesville,2022,0.24%
Little Rock,2002,0.23%
San Jose,1968,0.23%
Scottsdale,1955,0.23%
Mesa,1951,0.23%
Sanford,1949,0.23%
Auburn,1928,0.23%
Baltimore,1920,0.23%
Burlington,1915,0.22%
Lexington,1907,0.22%
Nashville,1888,0.22%
Escondido,1882,0.22%
Chesapeake,1864,0.22%
Wilmington,1855,0.22%
Corpus Christi,1852,0.22%
Omaha,1830,0.21%
McKinney,1820,0.21%
Peoria,1802,0.21%
Sarasota,1795,0.21%
Aurora,1794,0.21%
El Cajon,1794,0.21%
Buford,1793,0.21%
Denver,1788,0.21%
Littleton,1769,0.21%
Greenville,1764,0.21%
Tulsa,1757,0.21%
Bedford,1757,0.21%
Killeen,1748,0.21%
Savannah,1740,0.20%
Milwaukee,1722,0.20%
Fairfield,1716,0.20%
Merriam,1713,0.20%
Bellevue,1706,0.20%
Alexandria,1684,0.20%
Schaumburg,1681,0.20%
Grapevine,1677,0.20%
Greensboro,1672,0.20%
Long Island City,1632,0.19%
Kansas City,1603,0.19%
Fremont,1601,0.19%
Longmont,1588,0.19%
Atlanta,1582,0.19%
Salt Lake City,1580,0.19%
Memphis,1572,0.18%
Knoxville,1570,0.18%
Costa Mesa,1564,0.18%
Sterling,1537,0.18%
Seattle,1525,0.18%
Franklin,1509,0.18%
Henderson,1508,0.18%
Bloomington,1459,0.17%
Morrow,1431,0.17%
Brooklyn,1398,0.16%
Salem,1392,0.16%
Birmingham,1347,0.16%
Clearwater,1343,0.16%
Rochester,1330,0.16%
Denton,1318,0.15%
Leesburg,1317,0.15%
Lawrenceville,1313,0.15%
Glendale,1303,0.15%
Augusta,1293,0.15%
Conway,1284,0.15%
Roswell,1279,0.15%
Roseville,1272,0.15%
Reno,1265,0.15%
Florence,1261,0.15%
Watertown,1249,0.15%
Boise,1248,0.15%
Fort Lauderdale,1247,0.15%
Stafford,1242,0.15%
Montclair,1232,0.14%
Boerne,1230,0.14%
Salisbury,1226,0.14%
Canton,1213,0.14%
Lancaster,1208,0.14%
Manchester,1208,0.14%
Fontana,1206,0.14%
Woodbridge,1194,0.14%
Fort Wayne,1189,0.14%
Cary,1186,0.14%
Norfolk,1183,0.14%
Lincoln,1181,0.14%
New Castle,1167,0.14%
Elmhurst,1163,0.14%
Spokane,1163,0.14%
Norwood,1161,0.14%
Portsmouth,1150,0.13%
Fairfax,1147,0.13%
Spring,1134,0.13%
