,broken clouds,drizzle,few clouds,fog,haze,heavy intensity drizzle,heavy intensity rain,light intensity drizzle,light rain,light snow,mist,moderate rain,overcast clouds,proximity shower rain,proximity thunderstorm,proximity thunderstorm with rain,scattered clouds,shower rain,sky is clear,smoke,squalls,thunderstorm,thunderstorm with heavy rain,thunderstorm with light rain,thunderstorm with rain,heavy intensity shower rain,light intensity shower rain,light shower snow,snow,proximity moderate rain,thunderstorm with drizzle,thunderstorm with light drizzle,volcanic ash,heavy snow,proximity thunderstorm with drizzle,dust,freezing rain,heavy thunderstorm,sand/dust whirls,tornado
San Francisco,474.0,14.0,426.0,195.0,980.0,1.0,18.0,86.0,460.0,1.0,1790.0,147.0,547.0,87.0,32.0,7.0,395.0,2.0,1194.0,292.0,6.0,22.0,8.0,11.0,6.0,,,,,,,,,,,,,,,
Seattle,968.0,5.0,296.0,171.0,311.0,1.0,6.0,839.0,823.0,40.0,1037.0,80.0,1038.0,,4.0,,544.0,2.0,1649.0,107.0,,1.0,,2.0,,1.0,65.0,1.0,2.0,,,,,,,,,,,
San Antonio,816.0,30.0,760.0,146.0,293.0,3.0,11.0,133.0,451.0,,748.0,34.0,947.0,,54.0,2.0,663.0,,2863.0,,3.0,19.0,6.0,10.0,1.0,,,,,,,,,,,,,,,
Houston,931.0,23.0,598.0,224.0,557.0,1.0,48.0,23.0,435.0,1.0,1713.0,81.0,454.0,33.0,133.0,4.0,742.0,1.0,1891.0,,,64.0,9.0,16.0,6.0,,,,,1.0,1.0,2.0,1.0,,,,,,,
Minneapolis,819.0,165.0,220.0,162.0,180.0,20.0,29.0,234.0,345.0,234.0,667.0,157.0,942.0,32.0,105.0,17.0,794.0,,2807.0,1.0,,14.0,10.0,6.0,4.0,,2.0,,19.0,,,3.0,,2.0,3.0,,,,,
Chicago,916.0,67.0,382.0,207.0,230.0,1.0,44.0,88.0,388.0,143.0,1332.0,102.0,913.0,2.0,78.0,7.0,816.0,,2223.0,1.0,,22.0,4.0,10.0,6.0,,,,5.0,,1.0,,,2.0,1.0,2.0,,,,
Nashville,877.0,,545.0,127.0,128.0,,15.0,8.0,354.0,8.0,937.0,29.0,1122.0,,41.0,,487.0,,3256.0,,1.0,36.0,1.0,15.0,6.0,,,,,,,,,,,,,,,
New York,670.0,84.0,308.0,322.0,140.0,8.0,14.0,150.0,551.0,78.0,1335.0,74.0,638.0,,34.0,1.0,574.0,1.0,2159.0,1.0,1.0,12.0,2.0,11.0,7.0,,1.0,,2.0,,,,,15.0,1.0,2.0,3.0,1.0,1.0,
Atlanta,668.0,83.0,117.0,225.0,154.0,5.0,17.0,139.0,381.0,19.0,1363.0,100.0,733.0,,98.0,3.0,664.0,,3161.0,4.0,,40.0,2.0,7.0,7.0,,2.0,,1.0,,,,,,,,,,,
Miami,2034.0,1.0,1041.0,36.0,87.0,,43.0,67.0,713.0,,368.0,83.0,412.0,8.0,190.0,,1436.0,1.0,533.0,46.0,2.0,89.0,2.0,5.0,3.0,,,,,,,,,,,,,,,1.0
